COD,CODMUN7,Estado,Municipio,BCG,Hepatite_B,Hib,DPT,poliomielite,Rotavírus,Pneumonia,Meningococo ,Triplice_viral,Tetraviral,Varicela,Hepatite_A
110001,1100015,Rondonia,Alta Floresta D'Oeste,51.23,111.96,111.04,111.04,123.01,108.59,110.74,112.88,96.45,92.08,92.08,84.15
110002,1100023,Rondonia,Ariquemes,101.93,100.66,100.78,100.78,103.07,102.65,98.50,109.27,98.92,89.52,101.08,79.55
110003,1100031,Rondonia,Cabixi,30.14,98.63,98.63,98.63,187.67,98.63,110.96,104.11,109.64,77.11,77.11,31.33
110004,1100049,Rondonia,Cacoal,111.51,97.16,97.16,97.16,97.38,96.04,98.88,94.77,99.18,82.32,81.87,62.62
110005,1100056,Rondonia,Cerejeiras,54.37,107.22,107.22,107.22,127.76,107.22,106.08,125.10,99.28,85.51,85.51,62.32
110006,1100064,Rondonia,Colorado do Oeste,24.66,134.08,134.08,134.08,143.50,128.25,139.01,129.15,134.94,100.80,98.80,75.90
110007,1100072,Rondonia,Corumbiara,11.51,96.40,96.40,96.40,118.71,96.40,92.81,99.28,119.82,110.81,110.81,82.88
110008,1100080,Rondonia,Costa Marques,80.75,156.81,156.81,156.81,177.46,142.72,151.17,133.33,122.69,113.03,113.03,95.80
110009,1100098,Rondonia,EspigÆo D'Oeste,105.35,97.94,97.94,97.94,177.16,98.77,99.38,102.06,89.07,92.59,92.96,69.81
110010,1100106,Rondonia,Guajar 0Mirim,127.83,108.37,108.37,108.37,217.08,107.13,110.29,108.03,119.02,70.31,71.41,60.98
110011,1100114,Rondonia,Jaru,134.57,107.81,107.81,107.81,155.76,107.19,107.19,105.08,100.00,81.70,80.93,81.06
110012,1100122,Rondonia,Ji0Paran ,123.13,96.81,96.81,96.81,151.37,89.98,95.24,99.09,103.88,89.13,92.58,82.73
110013,1100130,Rondonia,Machadinho D'Oeste,76.13,131.91,131.91,131.91,257.04,141.46,150.00,135.43,114.07,111.51,110.23,96.16
110014,1100148,Rondonia,Nova Brasilƒndia D'Oeste,94.57,96.38,96.38,96.38,97.10,89.49,89.86,92.75,95.28,87.01,87.80,73.23
110015,1100155,Rondonia,Ouro Preto do Oeste,120.45,124.23,124.23,124.23,137.63,118.21,119.24,118.90,78.42,63.82,62.76,48.03
110018,1100189,Rondonia,Pimenta Bueno,149.92,101.33,101.33,101.33,101.66,103.66,105.49,102.33,108.22,97.95,96.06,78.25
110020,1100205,Rondonia,Porto Velho,113.75,103.18,103.44,103.67,110.46,111.96,106.02,108.65,115.36,95.76,95.72,90.53
