COD,Município,CV_BCG,CV_HEPatite_B,CV_HIB,CV_DPT,CV_POLIO,CV_Pneumo,CV_MncC,CV_SCR1,CV_SCR2,CV_VARICELA,CV_HEPatite_A
110001,110001 Alta Floresta D'Oeste,86.49,112.01,112.01,112.31,104.80,108.71,105.71,100.82,79.40,91.21,95.60
110002,110002 Ariquemes,102.06,104.45,104.58,104.58,97.28,100.20,95.36,92.11,73.00,82.88,86.09
110003,110003 Cabixi,0.00,126.09,126.09,127.54,120.29,117.39,107.25,105.13,87.18,92.31,87.18
110004,110004 Cacoal,104.83,103.40,103.47,103.47,91.85,96.45,93.21,105.41,60.06,87.56,91.37
110005,110005 Cerejeiras,69.52,109.29,109.29,109.67,108.55,111.90,106.69,112.88,100.43,106.01,109.01
110006,110006 Colorado do Oeste,16.75,124.63,125.62,125.12,112.81,118.72,115.27,110.33,98.59,94.84,104.69
110007,110007 Corumbiara,21.50,132.71,132.71,132.71,135.51,114.95,119.63,114.17,77.95,97.64,101.57
110008,110008 Costa Marques,83.68,115.26,115.26,115.26,107.37,114.21,107.89,90.75,96.04,94.27,99.56
110009,110009 Espigão D'Oeste,88.96,96.18,96.18,96.18,84.50,99.58,94.48,84.16,58.37,89.59,89.37
110010,110010 Guajará-Mirim,50.58,53.50,53.50,53.61,50.93,57.11,56.18,54.59,39.20,49.29,49.42
110011,110011 Jaru,98.43,102.80,102.80,102.80,101.79,106.05,102.24,86.43,60.78,72.86,84.26
110012,110012 Ji-Paraná,112.00,86.36,86.40,86.40,91.05,98.03,94.09,92.30,73.39,84.65,89.48
110013,110013 Machadinho D'Oeste,79.68,99.82,100.36,100.36,90.73,100.89,92.87,104.69,57.14,92.04,93.67
110014,110014 Nova Brasilândia D'Oeste,52.17,94.78,94.78,94.78,96.09,98.70,97.39,90.12,91.30,91.70,91.70
110015,110015 Ouro Preto do Oeste,55.67,67.83,67.83,67.83,64.50,71.17,67.33,57.88,47.43,44.05,64.15
110018,110018 Pimenta Bueno,97.75,107.77,108.12,108.12,101.55,109.67,102.59,95.89,76.15,90.46,91.45
110020,110020 Porto Velho,84.11,83.29,83.39,83.50,81.87,93.74,88.14,79.48,57.73,67.68,76.69
110025,110025 Presidente Médici,74.52,95.75,95.75,96.14,92.66,94.98,89.58,84.72,54.82,72.76,77.41
110026,110026 Rio Crespo,95.83,120.83,122.92,120.83,100.00,104.17,102.08,122.45,102.04,159.18,128.57
110028,110028 Rolim de Moura,0.00,74.12,73.77,73.77,67.96,71.61,72.52,68.34,53.86,60.39,64.74
110029,110029 Santa Luzia D'Oeste,39.39,88.89,88.89,88.89,82.83,90.91,83.84,86.87,90.91,69.70,102.02
110030,110030 Vilhena,73.92,102.83,102.96,103.09,100.00,102.77,99.48,99.49,64.97,86.42,93.78
110032,110032 São Miguel do Guaporé,62.81,79.34,79.34,79.34,73.83,86.23,77.69,104.93,101.45,95.65,49.28
110033,110033 Nova Mamoré,64.30,73.29,73.52,73.52,74.23,86.76,83.69,67.99,63.55,68.46,82.01
110034,110034 Alvorada D'Oeste,55.24,94.76,95.24,95.71,99.52,102.38,99.52,100.49,75.98,81.37,87.25
110037,110037 Alto Alegre dos Parecis,56.85,115.07,115.75,116.44,113.70,122.60,110.96,102.61,113.73,108.50,109.80
110040,110040 Alto Paraíso,82.57,112.84,112.84,112.84,105.96,105.96,104.59,97.78,67.11,67.56,74.67
110045,110045 Buritis,123.62,110.83,110.83,110.83,98.62,101.38,94.09,81.55,88.45,87.24,61.72
110050,110050 Novo Horizonte do Oeste,50.00,130.77,130.77,132.05,125.64,119.23,130.77,88.78,83.67,78.57,91.84
110060,110060 Cacaulândia,24.29,87.14,87.14,87.14,84.29,80.00,91.43,102.67,37.33,80.00,96.00
