Região,Município,CV_BCG,CV_HEPatite_B,CV_HIB,CV_DPT,CV_Polio,CV_rota,CV_Pneumo,CV_MNCC,CV_SCR1,CV_SCR2,CV_VARICELA,CV_HEPATITE_A
Região Norte,110001 Alta Floresta D'Oeste,67.57,93.69,93.69,93.99,91.29,93.69,97.00,97.00,115.11,61.63,88.22,91.24
Região Norte,110002 Ariquemes,108.69,83.21,83.28,83.28,83.68,85.00,89.05,88.32,87.17,59.49,78.88,80.82
Região Norte,110003 Cabixi,0.00,92.75,92.75,92.75,94.20,101.45,101.45,89.86,98.51,94.03,97.01,97.01
Região Norte,110004 Cacoal,108.98,88.45,89.28,89.28,89.13,90.04,91.85,92.75,135.84,27.32,82.19,82.04
Região Norte,110005 Cerejeiras,63.94,92.19,92.94,92.94,94.05,95.54,98.14,95.91,103.37,83.90,93.63,92.88
Região Norte,110006 Colorado do Oeste,19.21,89.66,89.66,89.66,89.16,93.60,97.04,93.10,100.00,84.73,99.51,102.46
Região Norte,110007 Corumbiara,14.02,80.37,80.37,80.37,86.92,92.52,95.33,91.59,106.86,120.59,124.51,124.51
Região Norte,110008 Costa Marques,77.37,95.26,95.26,95.79,92.11,102.63,106.32,99.47,109.19,83.78,92.43,92.97
Região Norte,110009 Espigão D'Oeste,91.30,83.44,83.44,83.44,84.08,94.27,97.66,95.33,92.29,2.78,90.36,86.94
Região Norte,110010 Guajará-Mirim,62.12,47.32,47.32,47.32,46.39,46.27,47.79,46.50,52.44,15.97,37.54,38.50
Região Norte,110011 Jaru,65.36,62.78,62.78,62.78,61.77,61.88,60.76,60.65,72.59,24.46,53.57,52.55
Região Norte,110012 Ji-Paraná,91.28,74.73,74.73,74.73,73.42,75.53,80.12,75.11,77.86,54.81,71.27,68.71
Região Norte,110013 Machadinho D'Oeste,69.88,82.00,82.17,82.35,81.64,71.66,82.00,82.00,99.10,16.85,76.34,76.88
Região Norte,110014 Nova Brasilândia D'Oeste,80.43,104.78,105.22,105.22,104.78,109.57,109.57,102.17,109.65,93.86,93.86,97.37
Região Norte,110015 Ouro Preto do Oeste,56.50,66.33,66.33,66.33,66.17,65.00,67.17,66.83,79.33,1.00,74.17,71.00
