UF;2013;2014;2015;2016;2017;2018;2019;2020;2021
Brasil;7.93;7.5;7.28;6.81;6.69;6.46;6.28;5.39;5.19
Acre;14.29;14.23;13.38;12.48;12.08;11.17;11.16;8.89;8.55
Alagoas;19.6;18.38;19.33;17.68;17.49;17.01;17.05;15.49;13
Amapa;5.48;6.54;7.07;4.87;5.46;5.57;5.05;4.94;3.9
Amazonas;7.29;7.22;7.63;6.57;6.37;5.41;5.21;4.61;4.36
Bahia;14.89;13.45;12.76;12.93;12.12;12.32;11.44;10.37;10.46
Ceara;16.24;15.61;15.3;14.19;13.19;13.06;13.01;10.95;11.32
Distrito Federal;2.69;2.77;2.77;2.57;2.76;2.8;2.68;2.46;1.84
Espirito Santo;6.27;6.2;6.21;5.59;5.6;4.78;5.31;4.32;5
Goias;6.96;6.16;6.22;5.61;5.64;4.98;5.19;4.05;4.56
Maranhao;17.7;17.19;17.15;15.72;15.73;14.67;14.34;12.18;11.49
Mato Grosso do Sul;6.15;6.61;6.85;4.97;4.73;4.82;4.41;3.95;3.85
Mato Grosso;6.84;6.47;6.41;6.17;6.11;6.37;5.34;4.24;4.3
Minas Gerais;7.18;6.68;6.09;5.9;5.59;5.77;5.33;4.56;4.41
Paraiba;19.02;17.32;17.02;15.2;16.23;15.93;15.4;13.05;12.95
Parana;5;4.7;4.46;4.03;4.53;4.5;3.95;3.67;3.1
Para;10.2;8.99;9.2;8.53;8.58;8.41;8.13;6.24;6.07
Pernambuco;14.42;13.16;13.23;12.51;12.15;11.95;12.54;10.11;9.8
Piaui;19.32;18.87;17.99;17.03;16.3;15.1;15.84;14.35;13.27
Rio de Janeiro;2.97;3.16;2.82;2.62;2.51;2.06;2.23;1.89;1.89
Rio Grande do Norte;16.17;15.42;13.72;14.1;12.98;13.23;12.29;10.59;9.8
Rio Grande do Sul;3.63;3.51;2.97;2.88;3.12;2.57;2.71;2.32;2.07
Rondonia;7.84;7.79;6.81;6.27;6.62;6.2;5.85;4.46;5.23
Roraima;6.41;6.2;6.44;6.81;5.89;6;5;3.87;5.23
Santa Catarina;3;3.2;2.84;2.69;2.54;2.5;2.14;1.6;1.77
Sao Paulo;3.19;3.13;3.12;2.66;2.76;2.58;2.48;2.18;1.94
Sergipe;14.98;14.28;14.14;14.61;13.65;12.63;12.48;11.31;11.48
Tocantins;11.63;10.75;10.31;9.74;9.7;9.3;8.9;8.33;7.75
