Territorialidade;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.859;0.841;0.842;0.896
Sao Paulo;0.845;0.791;0.849;0.898
Santa Catarina;0.826;0.776;0.794;0.916
Rio de Janeiro;0.809;0.783;0.78;0.867
Parana;0.807;0.764;0.779;0.882
Rio Grande do Sul;0.801;0.783;0.735;0.893
Minas Gerais;0.793;0.734;0.77;0.883
Espirito Santo;0.793;0.747;0.741;0.902
Mato Grosso;0.779;0.738;0.771;0.832
Mato Grosso do Sul;0.777;0.752;0.731;0.854
Goias;0.774;0.729;0.77;0.827
Tocantins;0.751;0.693;0.747;0.818
Roraima;0.749;0.696;0.767;0.788
Ceara;0.744;0.677;0.74;0.823
Rio Grande do Norte;0.742;0.693;0.689;0.855
Pernambuco;0.74;0.68;0.718;0.831
Acre;0.739;0.668;0.728;0.83
Amapa;0.737;0.665;0.728;0.828
Rondonia;0.73;0.705;0.707;0.781
Amazonas;0.726;0.658;0.735;0.792
Bahia;0.718;0.673;0.672;0.818
Paraiba;0.713;0.672;0.66;0.816
Piaui;0.706;0.657;0.692;0.775
Sergipe;0.705;0.682;0.639;0.805
Para;0.704;0.651;0.677;0.793
Maranhao;0.694;0.614;0.704;0.773
Alagoas;0.687;0.636;0.643;0.793
