UF;IDHM;IDHM Renda;IDHM Educacao;IDHM Longevidade
Distrito Federal;0.829;0.827;0.825;0.836
Sao Paulo;0.823;0.781;0.847;0.844
Santa Catarina;0.803;0.763;0.79;0.858
Espirito Santo;0.792;0.733;0.758;0.895
Minas Gerais;0.789;0.729;0.767;0.878
Parana;0.787;0.751;0.791;0.82
Rio de Janeiro;0.785;0.77;0.781;0.804
Rio Grande do Sul;0.78;0.774;0.739;0.831
Mato Grosso do Sul;0.76;0.744;0.747;0.789
Goias;0.758;0.722;0.79;0.763
Mato Grosso;0.756;0.735;0.765;0.769
Tocantins;0.755;0.691;0.763;0.817
Ceara;0.755;0.684;0.766;0.822
Rio Grande do Norte;0.75;0.695;0.71;0.855
Acre;0.746;0.668;0.753;0.825
Rondonia;0.739;0.704;0.743;0.77
Roraima;0.739;0.68;0.759;0.783
Pernambuco;0.739;0.667;0.729;0.831
Amazonas;0.727;0.657;0.748;0.783
Bahia;0.724;0.679;0.69;0.811
Amapa;0.724;0.663;0.701;0.815
Sergipe;0.722;0.687;0.682;0.803
Para;0.719;0.664;0.713;0.784
Paraiba;0.714;0.664;0.673;0.816
Piaui;0.708;0.659;0.7;0.768
Maranhao;0.699;0.621;0.726;0.758
Alagoas;0.694;0.645;0.66;0.786
