UF;2013;2014;2015;2016;2017;2018;2019;2020;2021
Brasil;784.47;806.32;780.32;770.94;774.72;802.94;814.3;779.13;723.84
Acre;517.64;514.59;531.35;485.71;471.65;536.77;509.57;512.47;471.54
Alagoas;401.31;444.05;418.37;422.39;405.8;421.03;419.89;443.65;404.28
Amapa;588.89;575.63;585.99;557.38;561.52;506.21;501.53;494.32;451.27
Amazonas;561.11;561.4;528.65;467.19;523.38;470.59;479.55;478.39;432.99
Bahia;508.14;538.5;520;490.75;534.64;499.19;526.67;547.09;451.59
Ceara;472.85;473.59;478.58;473.32;503.66;506.02;540.61;565.81;480.55
Distrito Federal;1568.87;1533.05;1553.68;1456.83;1508.91;1457.06;1498.74;1377.92;1326.87
Espirito Santo;772.78;807.78;758.07;738.04;739.68;773.16;833.57;764.29;684.63
Goias;798.41;792.81;755.14;722.67;777.03;775.46;749.17;713.76;679.62
Maranhao;350.41;356.63;362.31;367.42;370.74;362.29;366.24;382.11;341.32
Mato Grosso do Sul;775.41;810.08;732.94;805.71;791.4;849.52;860.55;821.8;767.68
Mato Grosso;788.18;792.86;746.52;727.13;766.18;819.61;791.12;777.37;707.48
Minas Gerais;765.94;794.67;781.44;728.6;757.43;767.86;771.16;745.24;699.24
Paraiba;471.12;520.86;543.81;495.42;557.71;525.07;523.09;497.15;465.74
Parana;912.6;932.8;873.96;884.45;900;937.67;926.61;854.53;817.79
Para;484.8;486.65;473.62;445.31;447.25;508.36;458.68;498.33;442.82
Pernambuco;569.17;614.31;579.46;540.06;520.08;512.75;549.29;509.32;447.97
Piaui;503.95;502.7;511.42;469.93;464.7;481.46;478.02;482.64;452.75
Rio de Janeiro;888.32;929.11;896.6;909.43;891;988.94;1044.95;961.32;901.42
Rio Grande do Norte;516;536.41;574.89;573.92;524.68;569.89;595.13;603.61;593.46
Rio Grande do Sul;984.82;1007.29;1001.71;976.02;998.33;994.83;1047.74;990.06;944.53
Rondonia;599.8;589.03;583.8;572.81;596.82;663.76;644.99;640.9;541.74
Roraima;717.96;673.18;703.36;679.72;613.07;718.35;607.23;548.93;549.54
Santa Catarina;949.54;959.06;959.5;921.16;978.64;974.74;1000.82;925.29;901.2
Sao Paulo;1068.69;1093.25;1038.98;1072.88;1029.92;1099.62;1096.85;1032.89;971.82
Sergipe;567.26;580.02;549.06;560.5;516.97;538.12;556.32;574.03;492.78
Tocantins;550.02;593.84;579.19;546.78;575.58;617;598.77;588.48;564.61
