Unidade da Federacao;BCG;Hepatite B  em criancas ate 30 dias;Rotavirus Humano;Meningococo C;Hepatite B;Penta;Pneumococica;Poliomielite;Poliomielite 4 anos;Febre Amarela;Hepatite A;Pneumococica(1o ref);Meningococo C (1o ref);Poliomielite(1o ref);Triplice Viral  D1;Triplice Viral  D2;Tetra Viral(SRC+VZ);DTP REF (4 e 6 anos);Triplice Bacteriana(DTP)(1o ref);Dupla adulto e triplice acelular gestante;dTpa gestante; Total
Total;86.67142083;78.5712306;85.39755035;87.41212838;70.77392703;70.75720016;89.07356092;84.18716164;68.45108618;62.40717352;85.0205631;83.46847807;85.77929228;74.61655474;93.11828082;81.54814823;34.23765738;53.74327364;57.08355325;45.01520238;63.23317585;73.44224624
Rondonia;88.11402392;86.74690034;88.92484456;92.63353089;89.66294586;89.66294586;102.4397338;98.25837181;63.77780295;81.4202087;85.00890812;97.68025306;89.80838454;75.46813075;106.4247537;82.24920918;70.74137367;49.83195499;55.00854452;53.31929876;75.54353744;82.12120949
Acre;93.85621714;91.25810001;84.49688226;89.66866365;76.41520968;76.41520968;91.53319477;81.73370828;50.98319851;68.68810368;80.62110282;78.81770388;85.96405429;70.6626727;87.39454701;78.65264702;75.67551045;44.18792782;51.29600196;49.19454045;64.50705875;74.82925243
Amazonas;93.26705019;89.61549796;82.55326782;89.23496778;78.576279;78.576279;92.51239606;83.29254699;75.82545474;74.09832285;85.32076004;86.41110072;90.88265064;77.02468962;92.11777217;82.29061231;72.70817051;64.28020347;65.03606709;53.39435451;69.61120676;79.79823952
Roraima;115.8814007;115.532078;78.94692;83.5392349;64.3946494;64.3946494;90.26156599;79.76484621;67.67799353;69.77081026;81.05137599;72.62503195;77.20030672;69.28516657;81.21325722;86.71721905;74.52500639;67.48584142;68.0923575;42.43379571;70.98720951;77.48324079
Para;83.06052696;75.46833764;76.03221759;77.41091129;62.38444787;62.38444787;82.13610995;72.71527668;39.48962923;62.59644366;72.66624364;73.55316479;74.55329459;59.99625041;82.8059878;71.33946727;59.89818434;35.43503869;44.11242988;46.77701201;59.87376456;65.1412455
Amapa;100.2662511;90.96694591;78.73238522;84.90161699;52.66575752;52.66575752;84.90161699;73.0112345;42.48021108;66.99136308;77.16734853;76.08935645;85.77180336;56.29586337;87.23943113;74.27755049;64.43275537;46.53520344;50.36690694;48.4807396;58.97688752;69.27410792
Tocantins;112.4137654;111.8843254;88.73335472;93.51836997;76.37574202;76.37574202;94.01973368;88.16781646;65.91278172;76.47200385;87.08888176;90.44200225;95.13476657;75.97064014;91.07171506;84.71041232;81.3452591;53.13106508;55.40269533;51.01042502;75.96631917;82.1221324
Maranhao;83.56714846;77.83078571;77.520114;77.80423257;58.57533568;58.45673166;84.13096007;75.73308786;40.65226216;66.75104664;74.0575849;75.07988069;77.11473611;63.55847443;87.05357538;65.8730229;6.94400549;33.17146774;46.20511413;42.83317785;62.71044275;63.23018687
Piaui;82.58120327;81.51428395;82.40406995;85.44211242;68.15101646;68.14895677;86.73559762;81.84589401;52.71055274;73.3970464;80.21255999;81.786163;84.10537373;67.1520669;89.01155486;74.47838356;2.137750238;46.57070279;55.64252024;46.71147384;62.72516646;69.5799874
Ceara;86.0474033;78.89465324;94.95997559;97.41777976;80.06134729;80.0519574;98.84660829;93.54053695;64.49936202;0.777127757;91.32373999;89.81822734;93.38325626;80.24914513;103.0188502;86.70000078;13.03723223;49.9432472;57.19696081;60.44779021;70.41691617;75.1824178
Rio Grande do Norte;85.28622734;83.34991995;84.55713729;85.25161179;68.87196573;68.87196573;89.31893903;80.73644585;54.99025584;0.653854901;81.40495868;87.31556402;84.85785989;71.49409372;93.73242179;74.39747306;3.741406344;47.27163412;56.12262559;45.06289635;64.48903212;68.19011468
Paraiba;94.89920102;86.92832285;95.5055398;96.90223158;82.21174752;82.18739673;99.90433618;92.59735968;63.83042946;1.162583915;91.77465083;90.1240151;89.09780321;78.26170142;105.7415685;87.78807855;13.21530249;59.56936596;67.23079331;50.89012517;69.50104312;76.93992104
Pernambuco;92.07172605;88.38314718;86.73494916;88.71499419;73.69873295;73.68990332;90.14024399;85.63713155;57.10402644;1.147164864;86.09259341;86.37072683;88.13812488;72.18518682;100.9984842;81.45409327;7.780765665;48.24214419;55.37430283;53.4625305;68.22795399;71.09987581
Alagoas;91.54224905;83.72577827;88.83219504;91.79637865;79.12166455;79.12166455;94.73276684;87.89310673;60.47332402;2.777777778;88.65152478;89.52112452;91.50849746;79.99920584;106.2182338;74.52747776;3.432605697;42.22831345;50.96092757;53.81985358;68.58544689;71.79283316
Sergipe;85.41352939;84.32692592;82.03265716;86.80426374;76.80928337;76.80928337;84.72849677;80.8604246;65.61786424;1.221192987;82.05037352;84.39188591;87.29146367;71.16071692;90.98532495;74.98449818;0.808555034;56.65608968;61.36061653;42.4663912;57.61217482;68.84045039
Bahia;78.05189969;73.73558206;75.22760013;78.52767951;66.88895858;66.88895858;79.55861745;74.83266858;51.86370644;66.44208814;75.3035485;73.58809521;78.67908627;65.83303117;84.65450839;70.49626138;1.791419323;50.83069996;62.15271993;34.64420945;55.68509545;65.13686628
Minas Gerais;88.76213323;81.7733084;90.39918454;91.46411095;74.36205965;74.36205965;91.88027146;88.51803171;76.70996763;85.71105584;91.99791537;87.10017359;89.93052495;81.41226332;96.97344773;87.57649728;1.368658275;59.6165973;68.71361949;44.68243104;70.10440339;77.85587869
Espirito Santo;90.09597823;83.52791605;88.70286144;90.46126849;66.37897074;66.35569244;91.76127207;86.67943989;78.79425377;70.88779859;91.95645167;88.40561544;91.71829674;78.70572646;95.01128102;87.44762382;3.419169368;44.79773998;44.64240948;57.37803583;73.09530553;75.31506705
Rio de Janeiro;79.62108451;50.76652211;75.04838363;76.80901011;55.1564404;55.15151244;78.39670991;73.6197226;53.82790478;55.21467995;77.66557953;73.48397964;71.94511146;60.17713784;96.57999427;77.23729482;6.760926152;36.84207887;39.61499176;34.37443798;54.08634289;61.19258892
Sao Paulo;83.78157496;77.51612086;87.16815027;87.88096725;72.14211227;72.09896077;89.80594902;86.62483369;82.6730068;72.29739228;86.2606612;82.84711621;86.34434895;78.83442903;91.80284996;82.50092351;26.81113083;64.46012474;58.48384598;40.27450335;54.77168143;74.49607676
Parana;91.19174599;70.89139936;90.80491842;92.9273969;79.0295067;79.0295067;92.38330173;89.68628918;86.79111597;83.18822015;91.2894041;88.41673378;90.4421883;80.90213262;91.98696201;90.66540683;83.01890382;78.82397508;76.47834717;44.44896147;68.68827749;82.87467209
Santa Catarina;83.4283616;79.93674619;95.34647223;97.8847601;71.98018996;71.98018996;97.87764151;93.67868692;99.45815037;84.43061403;94.35291964;93.58914366;94.86952631;84.06553176;95.82341815;93.34309598;89.32210629;55.6930905;54.50200338;55.49788501;71.96456319;83.97682222
Rio Grande do Sul;87.83340868;78.34593593;86.93560692;90.81360194;71.77257572;71.76833748;89.64172694;85.08843807;85.15288175;63.71708296;89.41851266;86.90382007;91.34974005;80.84595389;91.22683092;87.59677328;82.89090755;66.36601577;64.98361212;47.94671579;68.08216693;79.46212486
Mato Grosso do Sul;114.2489999;111.7102823;94.82199924;97.25121237;85.74206092;85.6951304;98.16524013;94.41079849;94.68181936;88.88193622;94.21413726;96.62770689;97.08583816;92.91572619;104.8807741;92.21400317;81.85800165;70.50685252;66.40221691;62.99214386;79.41510376;90.84098439
Mato Grosso;90.10616749;86.96305092;86.1825103;90.30872389;72.52217643;72.52217643;90.58287351;85.81232102;74.37550363;75.92372704;82.91017671;90.44492561;89.41992037;74.42376196;89.90710344;83.70817909;79.43528672;54.29089444;57.57491095;45.07276655;67.12403952;78.28267836
Goias;86.73127211;77.48141312;83.97887504;85.67399887;64.00041019;63.99938471;86.99277034;81.51874071;67.59624195;73.43383069;83.29487771;84.87207096;84.76131877;73.61226478;88.39460596;79.68312567;71.18494591;34.40974177;36.50412757;36.4155068;64.04476355;71.93230247
Distrito Federal;93.24178783;102.6543708;85.38413211;85.68928379;69.94704721;69.94704721;88.06318435;84.318345;79.77410903;79.19359181;87.31825525;79.87120804;84.33405134;77.22581224;85.70947765;86.79770239;84.26898223;52.0490448;52.46140729;58.01719891;72.19733954;79.12025463
