Unidade da Federacao;BCG;Hepatite B  em criancas ate 30 dias;Rotavirus Humano;Meningococo C;Hepatite B;Penta;Pneumococica;Poliomielite;Poliomielite 4 anos;Febre Amarela;Hepatite A;Pneumococica(1o ref);Meningococo C (1o ref);Poliomielite(1o ref);Triplice Viral  D1;Triplice Viral  D2;Tetra Viral(SRC+VZ);DTP REF (4 e 6 anos);Triplice Bacteriana(DTP)(1o ref);Dupla adulto e triplice acelular gestante;dTpa gestante;Varicela; Total
Total;77.14;65.77;77.94;79.23;77.86;77.86;82.04;76.79;67.58;57.64;75.90;72.14;76.55;69.30;80.88;64.27;21.01;73.49;77.21;22.89;46.37;74.43;68.05
Rondonia;75.09;70.84;83.42;85.38;85.79;85.79;89.65;82.51;74.13;72.26;78.62;80.15;84.19;77.63;84.21;64.44;47.65;84.52;89.00;17.81;65.47;75.75;75.19
Acre;71.81;67.41;66.30;66.67;64.70;64.70;73.66;63.08;46.68;49.45;59.71;60.78;61.33;56.53;60.15;41.58;34.11;54.20;62.34;30.56;46.01;41.67;56.53
Amazonas;91.93;86.14;71.40;76.96;65.87;65.87;83.17;68.17;55.33;60.26;68.69;76.87;75.72;59.01;77.00;52.17;34.43;64.25;72.37;29.39;61.53;55.88;66.03
Roraima;99.76;96.76;75.45;79.30;77.23;77.23;87.22;73.67;58.23;50.93;62.43;43.38;74.47;61.19;69.50;65.41;42.46;61.78;61.43;16.39;23.71;61.03;64.56
Para;72.90;63.23;63.13;65.30;56.13;56.13;69.46;59.78;36.23;49.46;59.07;61.72;62.00;51.98;62.39;54.79;46.49;45.26;56.02;32.52;45.63;54.22;55.48
Amapa;90.67;83.38;47.96;49.80;39.78;39.78;50.06;42.68;29.64;37.41;44.59;47.00;46.83;37.57;52.54;37.54;27.72;42.36;42.34;23.89;29.00;38.16;44.63
Tocantins;91.95;89.44;84.12;86.80;87.67;87.67;89.50;84.42;73.11;71.63;83.15;86.36;87.16;79.24;82.48;68.52;55.31;77.48;90.65;17.00;68.69;73.91;78.03
Maranhao;65.81;59.86;62.25;63.79;51.89;51.89;68.37;60.91;35.41;51.82;58.67;60.73;61.13;52.00;64.27;45.73;1.97;41.59;54.15;25.96;38.10;52.21;51.31
Piaui;79.79;75.62;74.04;76.51;62.17;62.17;79.61;72.96;59.90;63.57;75.08;75.48;77.02;70.09;78.47;53.25;5.76;65.65;73.65;27.29;53.57;73.45;65.64
Ceara;70.22;64.78;90.49;91.99;84.58;84.58;95.25;88.42;70.46;9.83;85.83;73.16;87.91;79.33;91.75;73.36;2.56;79.08;90.08;41.54;54.01;85.51;72.92
Rio Grande do Norte;85.15;80.47;74.21;75.10;67.87;67.87;78.29;70.58;59.60;3.04;72.63;74.17;73.88;66.55;79.02;56.09;6.63;66.72;71.84;25.07;51.53;70.72;63.50
Paraiba;67.48;63.84;76.53;76.81;73.64;73.64;81.47;73.77;57.37;13.62;70.97;74.19;74.25;67.28;80.38;55.29;6.39;60.07;71.33;25.01;47.94;71.53;62.30
Pernambuco;79.28;78.14;73.76;75.40;70.73;70.73;78.40;72.78;54.39;27.85;70.50;69.61;73.06;64.96;79.18;53.82;3.97;59.83;73.24;28.09;53.51;71.01;62.90
Alagoas;72.15;63.98;76.22;76.30;77.56;77.56;80.94;74.40;51.41;8.91;72.24;73.50;73.95;67.52;82.56;55.50;6.02;52.30;80.67;22.97;45.02;72.11;62.00
Sergipe;77.85;77.06;71.87;72.57;73.92;73.92;74.53;71.62;54.61;0.94;67.20;67.18;70.19;61.43;76.21;61.52;2.29;53.45;66.48;25.18;37.04;68.52;60.12
Bahia;78.43;73.16;72.25;73.88;69.61;69.61;77.56;70.86;48.25;62.19;69.02;67.72;71.97;58.78;79.72;55.54;4.80;55.06;67.70;18.39;39.25;70.51;61.62
Minas Gerais;83.14;75.73;88.18;87.10;89.00;89.00;89.47;86.61;79.03;80.97;89.83;80.79;86.30;83.12;93.11;77.12;3.03;85.72;92.35;24.02;53.16;90.00;78.29
Espirito Santo;86.84;69.73;81.78;84.42;87.37;87.37;86.28;81.66;78.60;64.74;83.12;79.61;80.92;72.55;87.81;71.16;1.37;93.39;82.29;41.56;60.19;78.41;75.47
Rio de Janeiro;64.06;44.95;58.22;58.50;57.20;57.20;61.54;56.84;50.30;41.19;54.02;53.45;54.70;47.53;61.61;41.25;12.36;53.02;48.64;12.13;35.78;60.84;49.33
Sao Paulo;71.45;53.95;81.78;82.83;89.77;89.77;84.55;82.25;83.24;69.26;80.84;74.91;80.55;74.20;86.83;68.50;2.64;92.27;86.19;16.59;36.63;80.92;71.45
Parana;89.97;61.57;87.52;89.05;88.38;88.38;90.09;86.35;85.56;76.32;86.73;72.77;85.04;77.23;86.15;80.79;56.24;87.85;84.86;24.10;50.46;83.55;78.06
Santa Catarina;83.19;74.15;90.69;91.25;88.37;88.37;94.17;88.70;99.02;77.73;88.93;82.01;85.91;84.68;87.55;85.68;61.00;92.94;93.88;32.43;53.38;86.76;82.10
Rio Grande do Sul;87.60;73.77;85.32;87.83;86.81;86.81;89.22;85.14;90.41;60.99;84.20;77.56;84.21;81.40;86.08;78.39;58.72;95.29;87.97;23.15;54.74;79.93;78.37
Mato Grosso do Sul;64.74;59.31;84.26;86.07;83.53;83.53;87.98;83.16;84.94;67.51;80.09;76.93;82.57;76.55;81.12;67.61;56.33;93.80;86.10;21.55;52.27;72.55;74.01
Mato Grosso;84.98;75.25;82.06;85.32;77.37;77.37;89.45;81.50;77.54;71.35;81.40;82.31;85.21;75.52;82.87;70.88;61.48;77.13;79.42;21.74;57.41;75.16;75.10
Goias;80.16;68.10;80.41;82.00;76.48;76.48;84.65;78.13;74.67;66.39;79.36;75.04;76.01;71.98;76.57;68.92;52.86;76.14;70.33;18.65;47.54;72.47;70.58
Distrito Federal;91.32;86.35;81.62;83.01;88.76;88.76;85.68;81.54;84.63;74.46;78.84;82.10;81.43;72.64;82.21;67.19;42.89;85.68;87.05;14.61;63.81;77.34;76.36
