Unidade da Federacao;BCG;Hepatite B  em criancas ate 30 dias;Rotavirus Humano;Meningococo C;Hepatite B;Penta;Pneumococica;Poliomielite;Poliomielite 4 anos;Febre Amarela;Hepatite A;Pneumococica(1o ref);Meningococo C (1o ref);Poliomielite(1o ref);Triplice Viral  D1;Triplice Viral  D2;Tetra Viral(SRC+VZ);DTP;DTP REF (4 e 6 anos);Triplice Bacteriana(DTP)(1o ref);Dupla adulto e triplice acelular gestante;dTpa gestante;Varicela; Total
Total;74.96;67.03;71.80;72.17;71.52;71.52;74.84;71.04;54.61;58.19;67.54;66.14;68.70;60.50;74.94;53.20;6.29;71.58;57.99;63.65;18.97;43.11;67.05;61.52
Rondonia;72.99;71.36;75.51;76.60;74.42;74.42;79.28;74.58;58.84;68.41;66.89;71.28;74.19;64.90;82.54;42.14;1.51;74.59;60.11;66.90;11.95;60.01;67.50;64.39
Acre;69.23;64.62;63.50;65.68;62.35;62.35;70.34;61.78;36.19;48.92;53.11;44.96;59.66;42.70;60.20;25.95;1.63;62.37;43.73;49.36;21.54;37.33;33.21;49.79
Amazonas;95.59;91.80;66.06;71.54;67.92;67.92;76.96;67.77;56.94;54.86;63.75;70.38;70.35;59.08;73.11;44.70;1.31;67.96;55.09;57.64;26.10;58.84;55.43;62.14
Roraima;77.13;78.10;51.81;55.26;52.08;52.08;59.08;50.96;51.75;38.97;49.00;44.94;51.49;44.77;67.31;35.51;1.65;52.15;51.90;44.15;8.51;14.72;46.77;47.02
Para;71.93;63.97;60.31;60.86;56.59;56.59;63.37;56.77;37.09;46.55;52.71;56.17;57.14;46.72;62.71;27.72;2.55;56.60;39.88;47.87;30.56;46.99;39.66;49.75
Amapa;95.79;91.92;51.76;51.42;45.53;45.53;52.56;45.37;35.34;38.35;42.28;47.21;48.31;37.04;64.18;34.70;0.96;45.53;35.35;36.94;21.11;32.93;37.48;45.12
Tocantins;91.30;91.81;80.17;82.30;80.57;80.57;85.17;80.22;63.56;69.53;74.99;80.25;79.71;70.23;80.47;50.51;4.30;80.70;67.60;74.49;13.22;65.39;68.58;71.04
Maranhao;70.78;65.70;63.42;63.86;62.89;62.89;68.17;61.97;36.74;51.61;53.54;57.70;59.24;47.42;63.26;39.94;3.11;62.92;39.79;48.88;24.74;39.27;50.17;52.32
Piaui;86.08;83.96;71.35;72.86;75.68;75.68;76.08;72.83;55.21;61.69;66.61;70.22;69.38;61.09;74.98;48.76;8.80;75.69;62.17;65.48;22.22;53.16;71.60;64.81
Ceara;72.90;70.70;74.92;75.13;75.28;75.28;77.53;74.27;53.57;26.24;68.80;69.99;70.83;61.80;74.49;55.18;3.87;75.29;57.90;65.26;35.67;50.60;68.53;62.42
